"string","D","length"
"0110110101",1.56549034142856e-08,10
"001110001",1.53660932379385e-08,9
"011100011",1.53660932379385e-08,9
"0000001110",1.51886315633155e-08,10
"0111000000",1.51886315633155e-08,10
"0100010101",1.5028568092087e-08,10
"0101011101",1.5028568092087e-08,10
"0001000100",1.48772037225557e-08,10
"0010001000",1.48772037225557e-08,10
"0000011000",1.47536764784554e-08,10
"0001100000",1.47536764784554e-08,10
"011000110",1.46806040241989e-08,9
"000111001",1.45883935462086e-08,9
"011000111",1.45883935462086e-08,9
"0100100101",1.43726558241179e-08,10
"0101101101",1.43726558241179e-08,10
"0001001001",1.43204612139347e-08,10
"0110110111",1.43204612139347e-08,10
"0001001000",1.42839249868065e-08,10
"0100110101",1.40873252884497e-08,10
"0101001101",1.40873252884497e-08,10
"0000101000",1.3918562715524e-08,10
"0001010000",1.3918562715524e-08,10
"0101011010",1.38820264883957e-08,10
"0101101010",1.38820264883957e-08,10
"00010101010",1.38420106205886e-08,11
"01010101000",1.38420106205886e-08,11
"0000100100",1.33009264950226e-08,10
"0001010100",1.33009264950226e-08,10
"0010010000",1.33009264950226e-08,10
"0010101000",1.33009264950226e-08,10
"01010010101",1.31025869763264e-08,11
"01010110101",1.31025869763264e-08,11
"0111111110",1.30277747017304e-08,10
"0101010001",1.29320845830612e-08,10
"0111010101",1.29320845830612e-08,10
"0110101001",1.29025076372907e-08,10
"0000000101",1.28433537457497e-08,10
"0101111111",1.28433537457497e-08,10
"0000101101",1.26450142270535e-08,10
"0100101111",1.26450142270535e-08,10
"0000001100",1.23805615354586e-08,10
"0011000000",1.23805615354586e-08,10
"0011010101",1.18742738166814e-08,10
"0101010011",1.18742738166814e-08,10
"0010000001",1.18638348946447e-08,10
"0111111011",1.18638348946447e-08,10
"001111001",1.17437872912234e-08,9
"011000011",1.17437872912234e-08,9
"0001101010",1.1738567830205e-08,10
"0101011000",1.1738567830205e-08,10
"0000010100",1.17263890878289e-08,10
"0010100000",1.17263890878289e-08,10
"00000100000",1.17020316030768e-08,11
"0010010011",1.13018729250055e-08,10
"0011011011",1.13018729250055e-08,10
"00101010101",1.11400696334375e-08,11
"01010101011",1.11400696334375e-08,11
"0000010010",1.11070130469881e-08,10
"0100100000",1.11070130469881e-08,10
"0001000001",1.10443795147683e-08,10
"0111110111",1.10443795147683e-08,10
"0001001010",1.07433905960451e-08,10
"0101001000",1.07433905960451e-08,10
"0010010101",1.06894561655224e-08,10
"0101011011",1.06894561655224e-08,10
"00000000010",1.06790172434858e-08,11
"01000000000",1.06790172434858e-08,11
"0001010010",1.06024651485504e-08,10
"0100101000",1.06024651485504e-08,10
"0100101101",1.04458813180007e-08,10
"0101011001",1.0438922036643e-08,10
"0110010101",1.0438922036643e-08,10
"0001000010",1.03223540739005e-08,10
"0100001000",1.03223540739005e-08,10
"0010010001",1.02144852128552e-08,10
"0111011011",1.02144852128552e-08,10
"00000110000",1.00387633585717e-08,11
